date,soi,wind_wpac,wind_cpac,wind_epac
1999-11-01,1.00,2.20,3.10,1.70
1999-12-01,1.40,4.00,3.10,1.50
2000-01-01,0.70,1.70,3.10,2.40
2000-02-01,1.70,5.10,4.40,0.10
2000-03-01,1.30,3.90,1.90,-1.90
2000-04-01,1.20,4.50,1.80,-0.30
2000-05-01,0.40,2.60,1.10,-1.10
2000-06-01,-0.20,2.50,1.00,-0.30
2000-07-01,-0.20,0.90,-0.20,-1.10
2000-08-01,0.70,0.70,1.60,0.90
2000-09-01,0.90,1.30,-0.70,-1.70
2000-10-01,1.10,1.30,2.10,1.20
2000-11-01,1.80,2.00,1.60,-0.20
2000-12-01,0.80,1.70,1.50,0.50
2001-01-01,1.00,4.60,2.10,-1.50
2001-02-01,1.70,3.60,3.50,0.60
2001-03-01,0.90,2.90,1.00,-1.80
2001-04-01,0.20,2.50,1.60,0.40
2001-05-01,-0.50,0.30,0.80,-0.10
2001-06-01,0.30,-0.70,0.50,0.60
2001-07-01,-0.20,0.10,-0.40,-0.40
2001-08-01,-0.40,-0.20,0.80,1.50
2001-09-01,0.20,0.80,-1.30,0.40
2001-10-01,-0.00,-0.70,-0.40,-0.10
2001-11-01,0.70,0.30,1.70,0.90
2001-12-01,-0.80,-3.30,0.20,-0.00
2002-01-01,0.40,0.30,-0.00,-0.60
2002-02-01,1.10,-2.30,0.30,-0.70
2002-03-01,-0.20,-0.40,1.80,0.60
2002-04-01,-0.10,-0.50,0.40,0.80
2002-05-01,-0.80,-1.60,-0.70,-1.40
2002-06-01,-0.20,0.20,0.10,-0.10
2002-07-01,-0.50,-2.40,-2.30,-2.10
2002-08-01,-1.00,-2.70,-0.40,-0.10
2002-09-01,-0.60,-4.40,-2.60,-1.20
2002-10-01,-0.40,-4.90,-1.50,-0.20
2002-11-01,-0.50,-0.50,0.70,-0.70
2002-12-01,-1.10,-1.00,-1.10,-1.60
2003-01-01,-0.20,-1.00,-0.10,-0.40
2003-02-01,-0.70,0.10,-0.70,-0.50
2003-03-01,-0.30,1.10,0.40,-0.80
2003-04-01,-0.10,-0.60,1.20,0.60
